Advanced Bullet,Ammunition,100,241,PrimalItemAmmo_AdvancedBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedBullet.PrimalItemAmmo_AdvancedBullet'
Advanced Rifle Bullet,Ammunition,100,242,PrimalItemAmmo_AdvancedRifleBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedRifleBullet.PrimalItemAmmo_AdvancedRifleBullet'
Advanced Sniper Bullet,Ammunition,100,-,PrimalItemAmmo_AdvancedSniperBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedSniperBullet.PrimalItemAmmo_AdvancedSniperBullet'
Boulder,Ammunition,100,-,PrimalItemAmmo_Boulder_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_Boulder.PrimalItemAmmo_Boulder'
C4 Charge,Ammunition,100,43,PrimalItemC4Ammo_C,Blueprint'/Game/PrimalEarth/Test/PrimalItemC4Ammo.PrimalItemC4Ammo'
Cannon Ball,Ammunition,1,-,PrimalItemAmmo_CannonBall_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_CannonBall.PrimalItemAmmo_CannonBall'
Cannon Shell,Ammunition,1,-,PrimalItemAmmo_CannonShell_C,Blueprint'/Game/Extinction/CoreBlueprints/Weapons/PrimalItemAmmo_CannonShell.PrimalItemAmmo_CannonShell'
Explosive Arrow,Ammunition,100,-,PrimalItemAmmo_ExplosiveArrow_C,Blueprint'/Game/Genesis2/Weapons/TekBow/PrimalItemAmmo_ExplosiveArrow.PrimalItemAmmo_ExplosiveArrow'
Flame Arrow,Ammunition,100,-,PrimalItemAmmo_ArrowFlame_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_ArrowFlame.PrimalItemAmmo_ArrowFlame'
Flamethrower Ammo,Ammunition,30,-,PrimalItemAmmo_Flamethrower_C,Blueprint'/Game/ScorchedEarth/WeaponFlamethrower/PrimalItemAmmo_Flamethrower.PrimalItemAmmo_Flamethrower'
Grappling Hook,Ammunition,10,-,PrimalItemAmmo_GrapplingHook_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_GrapplingHook.PrimalItemAmmo_GrapplingHook'
Jar of Pitch,Ammunition,100,-,PrimalItemAmmo_Boulder_Fire_C,Blueprint'/Game/Genesis2/Weapons/FireBoulder/PrimalItemAmmo_Boulder_Fire.PrimalItemAmmo_Boulder_Fire'
Metal Arrow,Ammunition,100,373,PrimalItemAmmo_CompoundBowArrow_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_CompoundBowArrow.PrimalItemAmmo_CompoundBowArrow'
Net Projectile,Ammunition,100,-,PrimalItemAmmo_ArrowNet_C,Blueprint'/Game/Genesis2/Weapons/NetAmmo/PrimalItemAmmo_ArrowNet.PrimalItemAmmo_ArrowNet'
Pheromone Dart,Ammunition,100,-,PrimalItemAmmo_AggroTranqDart_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AggroTranqDart.PrimalItemAmmo_AggroTranqDart'
Rocket Homing Missile,Ammunition,100,-,PrimalItemAmmo_RocketHomingMissile_C,Blueprint'/Game/ScorchedEarth/WeaponHomingMissile/PrimalItemAmmo_RocketHomingMissile.PrimalItemAmmo_RocketHomingMissile'
Rocket Pod,Ammunition,1,-,PrimalItemAmmo_RocketPod_C,Blueprint'/Game/Extinction/CoreBlueprints/Weapons/PrimalItemAmmo_RocketPod.PrimalItemAmmo_RocketPod'
Rocket Propelled Grenade,Ammunition,100,243,PrimalItemAmmo_Rocket_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_Rocket.PrimalItemAmmo_Rocket'
Shocking Tranquilizer Dart,Ammunition,100,-,PrimalItemAmmo_RefinedTranqDart_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_RefinedTranqDart.PrimalItemAmmo_RefinedTranqDart'
Simple Bullet,Ammunition,100,4,PrimalItemAmmo_SimpleBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_SimpleBullet.PrimalItemAmmo_SimpleBullet'
Simple Rifle Ammo,Ammunition,100,143,PrimalItemAmmo_SimpleRifleBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_SimpleRifleBullet.PrimalItemAmmo_SimpleRifleBullet'
Simple Shotgun Ammo,Ammunition,100,264,PrimalItemAmmo_SimpleShotgunBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_SimpleShotgunBullet.PrimalItemAmmo_SimpleShotgunBullet'
