ASA,ASE,Variable,Beschreibung
True,True,[ServerSettings],"Die folgenden Optionen müssen im Abschnitt [ServerSettings] von GameUserSettings.ini enthalten sein:"
True,True,ActiveMods,"Werttyp: Liste der Mod-IDs, durch Kommas getrennt und ohne Leerzeichen, in einer einzelnen Zeile (zum Beispiel: ModID1,ModID2,ModID3) Gibt die Reihenfolge an und welche Mods geladen werden. ModIDs werden durch Kommas getrennt und in einer Zeile. Die Priorität ist in absteigender Reihenfolge (die ModID ganz links hat die höchste Priorität). Alternativ, aber nicht empfohlen, kann die Befehlszeile ?GameModIds= verwendet werden"
True,None,ActiveMapMod,"Werttyp: Mod-ID für aktuell aktive Mod-Map Gibt an, welche Mod-Map geladen wird."
False,True,ActiveTotalConversion,"Werttyp: ModID Wird verwendet, um einen Total-Conversion-Mod anzugeben (z. B.: Primitive Plus). Alternativ kann auch die Befehlszeilenoption -TotalConversionMod=<ModID> gesetzt werden."
True,True,AdminLogging,"Standardwert: False Werttyp: boolean Wenn True, werden alle Admin-Befehle im Chat im Spiel protokolliert."
True,True,AllowAnyoneBabyImprintCuddle,"Standardwert: False Werttyp: boolean Wenn True, erlaubt es jedem, sich um ein Baby zu kümmern (kuscheln usw.), nicht nur um denjenigen, der darauf eingeprägt ist."
True,True,AllowCaveBuildingPvE,"Standardwert: False Werttyp: boolean Wenn True, erlaubt es das Bauen in Höhlen, wenn auch der PvE-Modus aktiviert ist. Hinweis: Vor Patch 241.5 funktioniert nicht mehr in Befehlszeilenoptionen."
True,True,AllowCaveBuildingPvP,"Standardwert: True Werttyp: boolean Wenn False, wird das Bauen in Höhlen verhindert, wenn auch der PvP-Modus aktiviert ist."
None,True,AllowCrateSpawnsOnTopOfStructures,"Standardwert: False Werttyp: boolean Wenn True, können Versorgungskisten aus der Luft auf Strukturen erscheinen, anstatt von Strukturen daran gehindert zu werden."
True,True,AllowFlyerCarryPvE,"Standardwert: False Werttyp: boolean Wenn True, können fliegende Kreaturen wilde Kreaturen im PvE aufnehmen."
None,True,AllowFlyingStaminaRecovery,"Standardwert: False Werttyp: boolean Wenn True, ermöglicht es dem Server, Ausdauer wiederherzustellen, wenn er auf einem Flyer steht."
True,True,AllowHideDamageSourceFromLogs,"Standardwert: True Werttyp: boolean Wenn False, werden die Schadensquellen in Stammesprotokollen angezeigt."
True,True,AllowHitMarkers,"Standardwert: True Werttyp: boolean Wenn False, werden optionale Markierungen für Fernangriffe deaktiviert."
None,True,AllowIntegratedSPlusStructures,"Standardwert: True Werttyp: boolean, wenn False, deaktiviert alle neuen S+-Strukturen (hauptsächlich dafür gedacht, dass inoffizielle Server, die weiterhin die S+-Mod-Version verwenden möchten, diese weiterhin ohne jede Menge Extras verwenden können). doppelte Strukturen)."
True,True,AllowMultipleAttachedC4,"Standardwert: False Werttyp: boolean Wenn True, können mehr als ein C4 pro Kreatur angehängt werden."
True,True,AllowRaidDinoFeeding,"Standardwert: False Werttyp: boolean Wenn True, können Titanosaurier dauerhaft gezähmt werden (d. h. sie können gefüttert werden). Hinweis: Auf der Insel erscheinen nur maximal 3 Titanosaurier, also 3 gezähmte sollte letztendlich das Laichen weiterer Exemplare verhindern."
None,True,AllowSharedConnections,"Standardwert: False Werttyp: boolean Wenn True, können Familienfreigabespieler eine Verbindung zum Server herstellen."
None,True,AllowTekSuitPowersInGenesis,"Standardwert: False Werttyp: boolean Wenn True, werden TEK-Anzugkräfte in Genesis: Teil 1 aktiviert."
True,True,AllowThirdPersonPlayer,"Standardwert: True Werttyp: boolean Wenn False, wird die standardmäßig auf allen dedizierten Servern zugelassene Third-Person-Kamera deaktiviert."
True,True,AlwaysAllowStructurePickup,"Standardwert: False Werttyp: boolean Wenn True, wird der Timer im Schnellabholsystem deaktiviert."
None,True,AlwaysNotifyPlayerLeft,"Standardwert: False Werttyp: boolean Wenn True, werden Spieler immer benachrichtigt, wenn jemand den Server verlässt"
None,True,AutoDestroyDecayedDinos,"Standardwert: False Werttyp: boolean Wenn True, werden beanspruchbare verfallene Zähmungen beim Laden automatisch zerstört, anstatt dass sie als beanspruchbar bleiben. Hinweis: Nach Patch 273.691 wird die Beanspruchung des Zähms im PvE-Modus automatisch aufgehoben Nach dem Verfall wurde im offiziellen PvE deaktiviert."
None,True,AutoDestroyOldStructuresMultiplier,"Standardwert: 0,0 Werttyp: Float Ermöglicht die automatische Zerstörung von Strukturen erst, nachdem ausreichend Zeit für Kein Stamm in der Nähe verstrichen ist (definiert als Multiplikator des Allow Claim-Zeitraums). Um es zu aktivieren, Legen Sie den Wert auf 1,0 fest. Erfordert die Befehlszeilenoption -AutoDestroyStructures. Der Wert skaliert mit jeder Strukturverfallszeit"
True,True,AutoSavePeriodMinutes,"Standardwert: 15,0 Werttyp: Float Legen Sie das Intervall für automatische Speicherungen fest. Wenn Sie diesen Wert auf 0 setzen, wird ständig gespeichert."
None,True,BanListURL,"Werttyp: Zeichenfolge mit einer URL. Legt die globale Sperrliste fest. Muss in doppelte Anführungszeichen eingeschlossen werden. Die offizielle Sperrliste ist http://arkdedicated.com/banlist.txtor 279.233 war die URL http: //playark.com/banlist.txt. Hinweis: Es unterstützt nur das HTTP-Protokoll (HTTPS wird nicht unterstützt)."
None,True,bForceCanRideFliers,"Werttyp: boolean Wenn True, können Flyer auf Karten verwendet werden, auf denen sie normalerweise deaktiviert sind. Hinweis: Wenn Sie den Wert auf False festlegen, werden Flyer auf allen Karten deaktiviert."
True,True,ClampItemSpoilingTimes,"Standardwert: False Werttyp: boolean Wenn True, werden alle Verderbzeiten auf die maximalen Verderbzeiten der Elemente begrenzt. Nützlich, wenn auf dem Server Exploits mit unendlichem Verderben verwendet wurden und Sie diese bereinigen möchten. Könnte möglicherweise Probleme mit Mods verursachen, die die Verderbzeit verändern, daher ist es eine Option."
None,True,ClampItemStats,"Standardwert: False Werttyp: boolean Wenn True, wird die Statistikbeschränkung für Elemente aktiviert. Weitere Informationen finden Sie unter ItemStatClamps."
True,True,ClampResourceHarvestDamage,"Standardwert: False Werttyp: boolean Wenn True, begrenzen Sie den Schaden, der einer Ressource beim Ernten durch eine Zähmung zugefügt wird, basierend auf der verbleibenden Gesundheit der Ressource. Hinweis: Die Aktivierung dieser Einstellung kann bei hoher Verwendung zu einer spürbaren Reduzierung der Ressourcenernte führen Werkzeugen oder Kreaturen Schaden zufügen."
None,True,CustomDynamicConfigUrl,"Werttyp: Zeichenfolge mit einer URL. Direkter Link zu einer Live-Datei dynamicconfig.ini (http://arkdedicated.com/dynamicconfig.ini), die Live-Änderungen der unterstützten Optionen ermöglicht, ohne dass ein Serverneustart erforderlich ist Außerdem wird ein benutzerdefinierter Farbsatz für die Spawns wilder Kreaturen definiert. Hinweis: Erfordert die Befehlszeilenoption -UseDynamicConfig. Die Zeichenfolge mit einer URL muss das HTTP-Protokoll verwenden (HTTPS wird nicht unterstützt) und muss bei Verwendung in der Befehlszeile in Anführungszeichen gesetzt werden für die unterstützten Einstellungen."
None,True,CustomLiveTuningUrl,"Werttyp: String mit einer URL Direkter Link zur Live-Tuning-Datei (z. B.: http://arkdedicated.com/DefaultOverloads.json). Derzeit ist nur das Ändern der Werte von DecayDestructionPeriod und DecayDestructionPeriodMultiplier für jede Struktur im Spiel möglich. Hinweis: Eine Zeichenfolge mit einer URL muss das HTTP-Protokoll verwenden (HTTPS wird nicht unterstützt) und bei Verwendung in der Befehlszeile in Anführungszeichen gesetzt. Weitere Informationen zur Verwendung dieses Systems finden Sie in der offiziellen Ankündigung: https://survivetheark.com/index.php?/forums/topic/569366-server-configuration-live-tuning-system."
True,True,DayCycleSpeedScale,"Standardwert: 1.0 Werttyp: Float Gibt den Skalierungsfaktor für den Zeitablauf im ARK an und steuert, wie oft der Tag in die Nacht und die Nacht in den Tag wechselt. Der Standardwert 1 sorgt für die gleiche Zyklusgeschwindigkeit da das Einzelspieler-Erlebnis (und die offiziellen öffentlichen Server) den Zyklus verlangsamen; höhere Werte beschleunigen ihn, wenn der Wert 1 Minute in Echtzeit entspricht. Für einen ungefähren 24-Stunden-Tag/Nacht-Zyklus im Spiel verwenden Sie daher .035 als Wert."
True,True,DayTimeSpeedScale,"Standardwert: 1.0 Werttyp: Float Gibt den Skalierungsfaktor für den Zeitablauf im ARK während des Tages an. Dieser Wert bestimmt die Länge jedes Tages im Verhältnis zur Länge jeder Nacht (wie angegeben). durch NightTimeSpeedScale). Durch Verringern dieses Werts wird die Länge jedes Tages erhöht"
False,True,DestroyUnconnectedWaterPipes,"Standardwert: False Werttyp: boolean Wenn True, werden die Rohre nach zwei Tagen in Echtzeit automatisch zerstört, wenn keine Verbindung zu einer Nicht-Pipeline (direkt oder indirekt) besteht und sich kein verbündeter Spieler in der Nähe befindet."
True,False,DestroyTamesOverTheSoftTameLimit,"Standardwert: False Werttyp: boolean ermöglicht die Zerstörung von Tames über dem Limit"
True,True,DifficultyOffset,"Standardwert: 1,0 Werttyp: float Gibt den Schwierigkeitsgrad an."
True,True,DinoCharacterFoodDrainMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Nahrungsverbrauch von Lebewesen an. Höhere Werte erhöhen die Nahrungsaufnahme (Lebewesen werden schneller hungrig). Es wirkt sich auch auf die Zähmungszeiten aus."
True,True,DinoCharacterHealthRecoveryMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für die Gesundheitswiederherstellung von Kreaturen an. Höhere Werte erhöhen die Erholungsrate (Kreaturen heilen schneller)."
True,True,DinoCharacterStaminaDrainMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Ausdauerverbrauch von Kreaturen an. Höhere Werte erhöhen den Ausdauerverbrauch (Kreaturen werden schneller müde)."
None,True,DinoCountMultiplier,"Standardwert: 1.0 Werttyp: Float Gibt den Skalierungsfaktor für Kreaturen-Spawns an. Höhere Werte erhöhen die Anzahl der in der ARK. gespawnten Kreaturen"
True,True,DinoDamageMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Schaden an, den wilde Kreaturen mit ihren Angriffen verursachen. Der Standardwert 1 sorgt für normalen Schaden. Höhere Werte erhöhen den Schaden. Niedrigere Werte verringern es."
True,True,DinoResistanceMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Schadenswiderstand an, den wilde Kreaturen bei einem Angriff erleiden. Der Standardwert 1 sorgt für normalen Schaden. Höhere Werte verringern den Widerstand und erhöhen den Schaden pro Angriff. Niedrigere Werte Erhöhen Sie ihn und verringern Sie den Schaden pro Angriff. Ein Wert von 0,5 führt dazu, dass eine Kreatur den halben Schaden erleidet, während ein Wert von 2,0 dazu führen würde, dass eine Kreatur den doppelten normalen Schaden erleidet"
True,True,DisableDinoDecayPvE,"Standardwert: False Werttyp: boolean Wenn True, wird der Kreaturenverfall im PvE-Modus deaktiviert. Hinweis: Nach Patch 273.691 wurde im PvE-Modus die automatische Rückforderung der Kreatur nach dem Verfallszeitraum deaktiviert."
