ASA,ASE,Variable,Description,CMD
True,True,[ServerSettings],"The following options must come under the [ServerSettings] section of GameUserSettings.ini:",V
True,True,ActiveMods,"Value type: list of mod IDs, comma-separated with no spaces, in a single line (for example: ModID1,ModID2,ModID3) Specifies the order and which mods are loaded. ModIDs are comma separated and in one line. Priority is in descending order (the left-most ModID hast the highest priority). Alternatively, but not suggested, the command line ?GameModIds= can be used.",X
True,None,ActiveMapMod,Value type: mod ID for currently active mod map Specifies which mod map is loaded.,?
False,True,ActiveTotalConversion,"Value type: ModID Used to specify a total conversion mod (e.g.: Primitive Plus). Alternatively, the command line option -TotalConversionMod=<ModID> can also be set.",X
True,True,AdminLogging,"Default value: False Value type: boolean If True, logs all admin commands to in-game chat.",V
True,True,AllowAnyoneBabyImprintCuddle,"Default value: False Value type: boolean If True, allows anyone to ""take care"" of a baby creatures (cuddle etc.), not just whomever imprinted on it.",V
True,True,AllowCaveBuildingPvE,"Default value: False Value type: boolean If True, allows building in caves when PvE mode is also enabled. Note: no more working in command-line options before patch 241.5.",X
True,True,AllowCaveBuildingPvP,"Default value: True Value type: boolean If False, prevents building in caves when PvP mode is also enabled.",X
None,True,AllowCrateSpawnsOnTopOfStructures,"Default value: False Value type: boolean If True, allows from-the-air Supply Crates to appear on top of Structures, rather than being prevented by Structures.",V
True,True,AllowFlyerCarryPvE,"Default value: False Value type: boolean If True, allows flying creatures to pick up wild creatures in PvE.",V
None,True,AllowFlyingStaminaRecovery,"Default value: False Value type: boolean If True, allows server to recover Stamina when standing on a Flyer.",V
True,True,AllowHideDamageSourceFromLogs,"Default value: True Value type: boolean If False, shows the damage sources in tribe logs.",V
True,True,AllowHitMarkers,"Default value: True Value type: boolean If False, disables optional markers for ranged attacks.",V
None,True,AllowIntegratedSPlusStructures,"Default value: True Value type: boolean if False, disables all of the new S+ structures (intended mainly for letting unofficial servers that want to keep using the S+ mod version to keep using that without a ton of extra duplicate structures).",V
True,True,AllowMultipleAttachedC4,"Default value: False Value type: boolean If True, allows to attach more than one C4 per creature.",V
True,True,AllowRaidDinoFeeding,"Default value: False Value type: boolean If True, allows Titanosaurs to be permanently tamed (namely allow them to be fed). Note: in The Island only spawns a maximum of 3 Titanosaurs, so 3 tamed ones should ultimately block any more ones from spawning.",V
None,True,AllowSharedConnections,"Default value: False Value type: boolean If True, allows family sharing players to connect to the server.",X
None,True,AllowTekSuitPowersInGenesis,"Default value: False Value type: boolean If True, enables TEK suit powers in Genesis: Part 1.",V
True,True,AllowThirdPersonPlayer,"Default value: True Value type: boolean If False, disables third person camera allowed by default on all dedicated servers.",V
True,True,AlwaysAllowStructurePickup,Default value: False Value type: boolean If True disables the timer on the quick pick-up system.,V
None,True,AlwaysNotifyPlayerLeft,"Default value: False Value type: boolean If True, players will always get notified if someone leaves the server",V
None,True,AutoDestroyDecayedDinos,"Default value: False Value type: boolean If True, auto-destroys claimable decayed tames on load, rather than have them remain around as claimable. Note: after patch 273.691, in PvE mode the tame auto-unclaim after decay period has been disabled in official PvE.",V
None,True,AutoDestroyOldStructuresMultiplier,"Default value: 0.0 Value type: float Allows auto-destruction of structures only after sufficient ""no nearby tribe"" time has passed (defined as a multiplier of the Allow Claim period). To enable it, set it to 1.0. Useful for servers to clear off abandoned structures automatically over time. Requires -AutoDestroyStructures command line option to work. The value scales with each structure decay time.",V
True,True,AutoSavePeriodMinutes,Default value: 15.0 Value type: float Set interval for automatic saves. Setting this to 0 will cause constant saving.,V
None,True,BanListURL,"Value type: string with a URL Sets the global ban list. Must be enclosed in double quotes. Official ban list is http://arkdedicated.com/banlist.txt, before 279.233 the URL was http://playark.com/banlist.txt. Note: it supports the HTTP protocol only (HTTPS is not supported).",X
None,True,bForceCanRideFliers,"Value type: boolean If True, allows flyers to be used on maps where they normally are disabled. Note: if you set it to False it will disable flyers on any map.",X
True,True,ClampItemSpoilingTimes,"Default value: False Value type: boolean If True, clamps all spoiling times to the items' maximum spoiling times. Useful if any infinite-spoiling exploits were used on the server and you wish to clean them up. Could potentially cause issues with mods that alter spoiling time, hence it is an option.",V
None,True,ClampItemStats,"Default value: False Value type: boolean If True, enables stats clamping for items. See ItemStatClamps for more info.",V
True,True,ClampResourceHarvestDamage,"Default value: False Value type: boolean If True, limit the damage caused by a tame to a resource on harvesting based on resource remaining health. Note: enabling this setting may result in sensible resource harvesting reduction using high damage tools or creatures.",V
None,True,CustomDynamicConfigUrl,"Value type: string with a URL Direct link to a live dynamicconfig.ini file (http://arkdedicated.com/dynamicconfig.ini), allowing live changes of the supported options without the need of server restart, as well defining custom colour set for wild creatures' spawns. Note: requires -UseDynamicConfig command line option, string with a URL must use the HTTP protocol (HTTPS is not supported) and inside quotes if used in command line. Check the DynamicConfig section for the supported settings.",V
None,True,CustomLiveTuningUrl,Value type: string with a URL Direct link to the live tuning file (e.g.: http://arkdedicated.com/DefaultOverloads.json). Currently only allows to change the values of DecayDestructionPeriod & DecayDestructionPeriodMultiplier for any structure in the game. Note: string with a URL must use the HTTP protocol (HTTPS is not supported) and inside quotes if used in command line. For more information on how to use this system check out the official announcement: https://survivetheark.com/index.php?/forums/topic/569366-server-configuration-live-tuning-system.,V
True,True,DayCycleSpeedScale,"Default value: 1.0 Value type: float Specifies the scaling factor for the passage of time in the ARK, controlling how often day changes to night and night changes to day. The Default value 1 provides the same cycle speed as the single player experience (and the official public servers). Values lower than 1 slow down the cycle; higher values accelerate it. Base time when value is 1 appears to be 1-minute real time equals approx. 28-minutes game time. Thus, for an approximate 24-hour day/night cycle in game, use .035 for the value.",V
True,True,DayTimeSpeedScale,"Default value: 1.0 Value type: float Specifies the scaling factor for the passage of time in the ARK during the day. This value determines the length of each day, relative to the length of each night (as specified by NightTimeSpeedScale). Lowering this value increases the length of each day.",V
False,True,DestroyUnconnectedWaterPipes,"Default value: False Value type: boolean If True, after two days real-time the pipes will auto-destroy if unconnected to any non-pipe (directly or indirectly) and no allied player is nearby.",V
True,True,DifficultyOffset,Default value: 1.0 Value type: float Specifies the difficulty level.,V
True,True,DinoCharacterFoodDrainMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for creatures' food consumption. Higher values increase food consumption (creatures get hungry faster). It also affects the taming-times.,V
True,True,DinoCharacterHealthRecoveryMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for creatures' health recovery. Higher values increase the recovery rate (creatures heal faster).,V
True,True,DinoCharacterStaminaDrainMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for creatures' stamina consumption. Higher values increase stamina consumption (creatures get tired faster).,V
None,True,DinoCountMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for creature spawns. Higher values increase the number of creatures spawned throughout the ARK.,V
True,True,DinoDamageMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for the damage wild creatures deal with their attacks. The Default value 1 provides normal damage. Higher values increase damage. Lower values decrease it.,V
True,True,DinoResistanceMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the resistance to damage wild creatures receive when attacked. The Default value 1 provides normal damage. Higher values decrease resistance, increasing damage per attack. Lower values increase it, reducing damage per attack. A value of 0.5 results in a creature taking half damage while a value of 2.0 would result in a creature taking double normal damage.",V
True,True,DisableDinoDecayPvE,"Default value: False Value type: boolean If True, disables the creature decay in PvE mode. Note: after patch 273.691, in PvE mode the creature auto-unclaim after decay period has been disabled.",V
True,True,DisableImprintDinoBuff,"Default value: False Value type: boolean If True, disables the creature imprinting player Stat Bonus. Where whomever specifically imprinted on the creature, and raised it to have an Imprinting Quality, gets extra Damage/Resistance buff.",V
