ASA,ASE,Variable,Description
True,True,[ServerSettings], Le seguenti opzioni devono trovarsi nella sezione [ServerSettings] di GameUserSettings.ini:
True,True,ActiveMods," Tipo valore: elenco di ModID, separati da virgole senza spazi, in una singola riga (ad esempio: ModID1,ModID2,ModID3) Specifica l'ordine e quali mod vengono caricate. I ModID sono separati da virgole e su un'unica riga. La priorità è in ordine decrescente (il ModID più a sinistra ha la priorità più alta). In alternativa, ma non consigliato, è possibile utilizzare la riga di comando ?GameModIds=."
True,None,ActiveMapMod, Tipo valore: ModID per la mappa moddata attualmente attiva. Specifica quale mappa mod è caricata.
False,True,ActiveTotalConversion, Tipo valore: ModID Utilizzato per specificare un mod di TotalConversion (ad esempio: Primitive Plus). In alternativa è possibile impostare anche l'opzione della riga di comando -TotalConversionMod=<ModID>.
True,True,AdminLogging," Valore predefinito: False Tipo valore: booleano Se True, registra tutti i comandi dell'amministratore nella chat di gioco."
True,True,AllowAnyoneBabyImprintCuddle," Valore predefinito: False Tipo valore: booleano Se True, consente a chiunque di prendersi cura di un cucciolo (coccolarlo, ecc.), non solo a chiunque abbia l'imprinting su di esso."
True,True,AllowCaveBuildingPvE," Valore predefinito: False Tipo valore: booleano Se True, consente la costruzione nelle caverne quando è abilitata anche la modalità PvE. Nota: non è più necessario lavorare nelle opzioni della riga di comando prima della patch 241.5."
True,True,AllowCaveBuildingPvP," Valore predefinito: True Tipo valore: booleano Se False, impedisce la costruzione nelle caverne quando è abilitata anche la modalità PvP."
None,True,AllowCrateSpawnsOnTopOfStructures," Valore predefinito: False Tipo valore: booleano Se True, consente alle casse di rifornimenti aeree di apparire sopra le strutture, anziché essere impedite dalle strutture."
True,True,AllowFlyerCarryPvE," Valore predefinito: False Tipo valore: booleano Se True, consente alle creature volanti di portare creature selvagge in PvE."
None,True,AllowFlyingStaminaRecovery," Valore predefinito: False Tipo valore: booleano Se True, consente di recuperare stamina su un voltatile in volo."
True,True,AllowHideDamageSourceFromLogs," Valore predefinito: True Tipo valore: booleano Se False, mostra le fonti di danno nei Logs della tribù."
True,True,AllowHitMarkers," Valore predefinito: True Tipo valore: booleano Se False, disabilita i marcatori per gli attacchi a distanza."
None,True,AllowIntegratedSPlusStructures," Valore predefinito: True Tipo di valore: booleano se False, disabilita tutte le nuove strutture S+ (intese principalmente per consentire ai server non ufficiali che vogliono continuare a utilizzare la versione mod S+ di continuare a utilizzarla senza un sacco di strutture duplicate aggiuntive)."
True,True,AllowMultipleAttachedC4," Valore predefinito: False Tipo valore: booleano Se True, consente di assegnare più di un C4 per creatura."
