ASA,ASE,Variable,Description
True,True,[ServerSettings],"As seguintes opções devem estar na seção [ServerSettings] do GameUserSettings.ini:"
True,True,ActiveMods,"Lista de IDs de mod, separados por vírgula e sem espaços, em uma única linha (por exemplo: ModID1,ModID2,ModID3) Especifica a ordem e quais mods são carregados."
True,None,ActiveMapMod,"ID do mod para mapa de mod atualmente ativo Especifica qual mapa de mod está carregado.?"
False,True,ActiveTotalConversion,"Usado para especificar um mod de conversão total (ex.: Primitive Plus). Alternativamente, a opção de linha de comando -TotalConversionMod=<ModID> também pode ser definida."
True,True,AdminLogging,"Se habilitado, os comandos do administrador serão ecoados para o bate-papo para todos verem."
True,True,AllowAnyoneBabyImprintCuddle,"Se habilitado, QUALQUER PESSOA será capaz de cuidar de um Baby Dino (carinho etc), não apenas quem imprimiu nele."
True,True,AllowCaveBuildingPvE,"Se habilitado, permite a construção em cavernas quando o modo PVE estiver habilitado."
True,True,AllowCaveBuildingPvP,"Se habilitado, permite construir em cavernas quando o modo PvP estiver habilitado."
None,True,AllowCrateSpawnsOnTopOfStructures,"Se habilitado, permitirá que os Supply Crates do ar apareçam no topo das Estruturas, em vez de serem impedidas pelas Estruturas."
True,True,AllowFlyerCarryPvE,"Se habilitado, permita que os dinossauros voadores capturem outros dinossauros e jogadores quando forem montados por um jogador em PvE."
None,True,AllowFlyingStaminaRecovery,"Se ativado, recupera a stamina voando."
True,True,AllowHideDamageSourceFromLogs,"Se ativado, faz com que esconda o nome do jogador que o matou da mensagem de morte e do registro da tribo."
True,True,AllowHitMarkers,"Se ativado, mostra marcadores de hit para ataques à distância."
None,True,AllowIntegratedSPlusStructures,"Se ativado, adicionará todas as novas estruturas S + caso contrário, desabilita todas as novas estruturas S + (destinadas principalmente a permitir que funcionários não oficiais que desejam continuar usando a versão mod S + continuem usando isso sem uma tonelada de estruturas duplicadas extras)."
True,True,AllowMultipleAttachedC4,"Se habilitado, permitirá mais de um C4 anexado por dino."
True,True,AllowRaidDinoFeeding,"Se habilitado, permite que os Titanossauros do seu servidor sejam permanentemente domados (ou seja, permite que sejam alimentado)."
None,True,AllowSharedConnections,"Se desativado, desativará o compartilhamento de contas familiar."
None,True,AllowTekSuitPowersInGenesis,"se ativado, permitirá que o jogador use TekSuit Powers no mapa Genesis."
True,True,AllowThirdPersonPlayer,"Se ativado, permite que os jogadores se vejam em terceira pessoa."
True,True,AlwaysAllowStructurePickup,"Se ativado, desativará o cronômetro no sistema de coleta rápida."
None,True,AlwaysNotifyPlayerLeft,"Se ativado, os jogadores sempre serão notificados se alguém deixar o servidor."
None,True,AutoDestroyDecayedDinos,"Se habilitado, todos os dinossauros reivindicados com decaimento irão auto-destruir no carregamento, ao invés de tê-los permanecer como reivindicado."
None,True,AutoDestroyOldStructuresMultiplier,"Permite as Estruturas se Destruirem Automático, depois de um tempo suficiente que nenhuma Tribo Entrou. Útil para servidores que deseja limpar estruturas abandonadas automaticamente ao longo do tempo. Defina como 0 para desativá-lo."
True,True,AutoSavePeriodMinutes,"O tempo entre o servidor salva automaticamente."
None,True,BanListURL,"Se ativado, usa o URL banimentos global do Ark. - http://arkdedicated.com/banlist.txt"
