ASA,ASE,Variable,Description
None,TRUE,AutoPvEStartTimeSeconds,"Default value: 0.0Value type: floatStates when the PvE mode should start in a PvPvE server. Valid values are from 0 to 86400. Options bAutoPvETimer, bAutoPvEUseSystemTime and AutoPvEStopTimeSeconds must also be set. Note: although at code level it is defined as a floating point number, it is suggested to use an integer instead."
None,TRUE,AutoPvEStopTimeSeconds,"Default value: 0.0Value type: floatStates when the PvE mode should end in a PvPvE server. Valid values are from 0 to 86400. Options bAutoPvETimer, bAutoPvEUseSystemTime and AutoPvEStopTimeSeconds must also be set. Note: although at code level it is defined as a floating point number, it is suggested to use an integer instead."
TRUE,TRUE,BabyCuddleGracePeriodMultiplier,Default value: 1.0Value type: floatScales how long after delaying cuddling with the Baby before Imprinting Quality starts to decrease.
TRUE,TRUE,BabyCuddleIntervalMultiplier,Default value: 1.0Value type: floatScales how often babies needs attention for imprinting. More often means you'll need to cuddle with them more frequently to gain Imprinting Quality. Scales according to BabyMatureSpeedMultiplier: if both set at 1.0 the imprint request is every 8 hours.
TRUE,TRUE,BabyCuddleLoseImprintQualitySpeedMultiplier,Default value: 1.0Value type: floatScales how fast Imprinting Quality decreases after the grace period if you haven't yet cuddled with the Baby.
TRUE,TRUE,BabyFoodConsumptionSpeedMultiplier,Default value: 1.0Value type: floatScales the speed that baby tames eat their food. A lower value decreases (by percentage) the food eaten by babies.
TRUE,TRUE,BabyImprintAmountMultiplier,"Default value: 1.0Value type: floatScales the percentage each imprint provides. For example, if an imprint usually give 10%, setting this multiplier to 0.5 means they would now give 5% each. While setting it to 2.0 means they would now give 20% each, etc. This multiplier is global, meaning it will affect the imprinting progression of every species."
TRUE,TRUE,BabyImprintingStatScaleMultiplier,Default value: 1.0Value type: floatScales how much of an effect on stats the Imprinting Quality has. Set it to 0 to effectively disable the system.
TRUE,TRUE,BabyMatureSpeedMultiplier,Default value: 1.0Value type: floatScales the maturation speed of babies. A higher number decreases (by percentage) time needed for baby tames to mature. See Times for Breeding tables for values at 1.0
None,TRUE,bAllowUnclaimDinos,"Default value: TrueValue type: booleanIf False, prevents players to unclaim tame creatures."
None,TRUE,bAllowCustomRecipes,"Default value: TrueValue type: booleanIf False, disabled custom RP-oriented Recipe/Cooking System (including Skill-Based results)."
FALSE,TRUE,bAllowFlyerSpeedLeveling,Default value: FalseValue type: booleanSpecifies whether flyer creatures and player character can have their Movement Speed levelled up.
TRUE,FALSE,bAllowSpeedLeveling,Default value: FalseValue type: booleanSpecifies whether creatures can have their movement speed increased.
None,TRUE,bAllowPlatformSaddleMultiFloors,"Default value: FalseValue type: booleanIf True, allows multiple platform floors."
