ASA,ASE,Variable,Description
None,TRUE,AutoPvEStartTimeSeconds,"Valeur par défaut : 0,0 Type de valeur : float Indique à quel moment le mode PvE doit démarrer sur un serveur PvPvE. Les valeurs valides sont comprises entre 0 et 86 400. Les options bAutoPvETimer, bAutoPvEUseSystemTime et AutoPvEStopTimeSeconds doivent également être définies. Remarque : bien qu'au niveau du code, il soit défini comme un nombre à virgule flottante, il est suggéré d'utiliser plutôt un nombre entier."
None,TRUE,AutoPvEStopTimeSeconds,"Valeur par défaut : 0,0 Type de valeur : float Indique quand le mode PvE doit se terminer sur un serveur PvPvE. Les valeurs valides sont comprises entre 0 et 86 400. Les options bAutoPvETimer, bAutoPvEUseSystemTime et AutoPvEStopTimeSeconds doivent également être définies. Remarque : bien qu'au niveau du code, il soit défini comme un nombre à virgule flottante, il est suggéré d'utiliser plutôt un nombre entier."
TRUE,TRUE,BabyCuddleGracePeriodMultiplier,"Valeur par défaut : 1,0 Type de valeur : float Échelle le temps après avoir retardé les câlins avec le bébé avant que la qualité d'impression ne commence à diminuer."
TRUE,TRUE,BabyCuddleIntervalMultiplier,"Valeur par défaut : 1,0Type de valeur : floatÉvalue la fréquence à laquelle les bébés ont besoin d'attention pour l'empreinte. Plus souvent signifie que vous devrez les câliner plus fréquemment pour obtenir une qualité d'impression. Échelle selon BabyMatureSpeedMultiplier : si les deux sont définis à 1,0, la demande d'empreinte est toutes les 8 heures."
TRUE,TRUE,BabyCuddleLoseImprintQualitySpeedMultiplier,"Valeur par défaut : 1,0Type de valeur : floatÉvalue la vitesse à laquelle la qualité d'impression diminue après la période de grâce si vous n'avez pas encore fait de câlins au bébé."
TRUE,TRUE,BabyFoodConsumptionSpeedMultiplier,"Valeur par défaut : 1,0Type de valeur : floatAjuste la vitesse à laquelle le bébé apprivoise mange sa nourriture. Une valeur inférieure diminue (en pourcentage) la nourriture consommée par les bébés."
TRUE,TRUE,BabyImprintAmountMultiplier,"Valeur par défaut : 1,0 Type de valeur : float Échelle le pourcentage fourni par chaque empreinte. Par exemple, si une empreinte donne habituellement 10 %, définir ce multiplicateur à 0,5 signifie qu'elle donnera désormais 5 % chacune. Alors que le régler sur 2,0 signifie qu'ils donneraient désormais 20 % chacun, etc. Ce multiplicateur est global, ce qui signifie qu'il affectera la progression de l'empreinte de chaque espèce."
TRUE,TRUE,BabyImprintingStatScaleMultiplier,Valeur par défaut : 1.0Type de valeur : floatÉvalue l'effet de la qualité d'impression sur les statistiques. Réglez-le sur 0 pour désactiver efficacement le système.
TRUE,TRUE,BabyMatureSpeedMultiplier,"Valeur par défaut : 1.0Type de valeur : floatAjuste la vitesse de maturation des bébés. Un nombre plus élevé diminue (en pourcentage) le temps nécessaire à l'apprivoisement du bébé pour mûrir. Voir les tableaux des temps de reproduction pour les valeurs à 1,0"
None,TRUE,bAllowUnclaimDinos,"Valeur par défaut : TrueValue type : booleanIf False, empêche les joueurs de retirer les créatures apprivoisées."
None,TRUE,bAllowCustomRecipes,"Valeur par défaut : TrueValue type : booleanIf False, système de recette/cuisine personnalisé orienté RP désactivé (y compris les résultats basés sur les compétences)."
FALSE,TRUE,bAllowFlyerSpeedLeveling,Valeur par défaut : FalseType de valeur : booléenSpécifie si les créatures volantes et le joueur peuvent voir leur vitesse de déplacement augmenter.
TRUE,FALSE,bAllowSpeedLeveling,Valeur par défaut : FalseType de valeur : booléenSpécifie si les créatures peuvent voir leur vitesse de déplacement augmenter.
None,TRUE,bAllowPlatformSaddleMultiFloors,"Valeur par défaut : FalseType de valeur : booléenSi vrai, autorise plusieurs étages de plate-forme."
TRUE,TRUE,bAllowUnlimitedRespecs,"Valeur par défaut : FalseType de valeur : booléenSi vrai, autorise plus d'une utilisation de Mindwipe Tonic sans temps de recharge de 24 heures."
None,TRUE,BaseTemperatureMultiplier,"Valeur par défaut : 1.0Type de valeur : floatSpécifie le facteur d'échelle de température de base de la carte : une valeur inférieure rend l'environnement plus froid, une valeur plus élevée rend l'environnement plus chaud."
None,TRUE,bAutoPvETimer,"Valeur par défaut : FalseType de valeur : booleanIf True, mode PvE activé sur un serveur PvPvE à des heures prédéfinies. L'option bAutoPvEUseSystemTime détermine le type d'heure à utiliser, tandis que AutoPvEStartTimeSeconds et AutoPvEStopTimeSeconds définissent l'heure de début et de fin du mode PvE."
