ASA,ASE,Variable,Description
None,TRUE,AutoPvEStartTimeSeconds,"Valore predefinito: 0.0Tipo valore: floatStata quando la modalità PvE dovrebbe iniziare in un server PvPvE. I valori validi sono compresi tra 0 e 86400. È necessario impostare anche le opzioni bAutoPvETimer, bAutoPvEUseSystemTime e AutoPvEStopTimeSeconds. Nota: sebbene a livello di codice sia definito come numero in virgola mobile, si consiglia di utilizzare invece un numero intero."
None,TRUE,AutoPvEStopTimeSeconds,"Valore predefinito: 0.0Tipo valore: floatStata quando la modalità PvE dovrebbe terminare in un server PvPvE. I valori validi sono compresi tra 0 e 86400. È necessario impostare anche le opzioni bAutoPvETimer, bAutoPvEUseSystemTime e AutoPvEStopTimeSeconds. Nota: sebbene a livello di codice sia definito come numero in virgola mobile, si consiglia di utilizzare invece un numero intero."
TRUE,TRUE,BabyCuddleGracePeriodMultiplier,Valore predefinito: 1.0Tipo valore: floatScala quanto tempo dopo aver ritardato le coccole con il bambino prima che la qualità dell'imprinting inizi a diminuire.
TRUE,TRUE,BabyCuddleIntervalMultiplier,"Valore predefinito: 1.0Tipo valore: floatScala la frequenza con cui i bambini necessitano di attenzione per l'imprinting. Più spesso significa che dovrai coccolarli più frequentemente per ottenere la qualità dell'imprinting. Scale secondo BabyMatureSpeedMultiplier: se entrambi impostati su 1.0, la richiesta di stampa è ogni 8 ore."
TRUE,TRUE,BabyCuddleLoseImprintQualitySpeedMultiplier,Valore predefinito: 1.0Tipo valore: floatScala la velocità con cui la qualità dell'imprinting diminuisce dopo il periodo di grazia se non hai ancora coccolato il cucciolo.
TRUE,TRUE,BabyFoodConsumptionSpeedMultiplier,Valore predefinito: 1.0Tipo valore: floatAumenta la velocità con cui il bambino doma mangia il cibo. Un valore inferiore diminuisce (in percentuale) il cibo consumato dai bambini.
TRUE,TRUE,BabyImprintAmountMultiplier,"Valore predefinito: 1.0Tipo di valore: floatScala la percentuale fornita da ciascuna stampa. Ad esempio, se un'impronta solitamente dà il 10%, impostando questo moltiplicatore su 0,5 significa che ora daranno il 5% ciascuno. Mentre impostarlo su 2.0 significa che ora darebbero il 20% ciascuno, ecc. Questo moltiplicatore è globale, il che significa che influenzerà la progressione dell'imprinting di ogni specie."
TRUE,TRUE,BabyImprintingStatScaleMultiplier,Valore predefinito: 1.0Tipo di valore: floatScala l'effetto sulle statistiche della qualità dell'imprinting. Impostarlo su 0 per disabilitare efficacemente il sistema.
TRUE,TRUE,BabyMatureSpeedMultiplier,"Valore predefinito: 1.0Tipo di valore: floatScala la velocità di maturazione dei bambini. Un numero più alto diminuisce (in percentuale) il tempo necessario ai cuccioli per maturare. Vedere Tempi per le tabelle di riproduzione per valori a 1,0"
None,TRUE,bAllowUnclaimDinos,"Valore predefinito: TrueValue tipo: booleanIf False, impedisce ai giocatori di annullare la rivendicazione delle creature addomesticate."
None,TRUE,bAllowCustomRecipes,"Valore predefinito: TrueValue tipo: booleanIf False, disabilitato il sistema di ricette/cotture personalizzato orientato a RP (compresi i risultati basati sulle abilità)."
FALSE,TRUE,bAllowFlyerSpeedLeveling,Valore predefinito: FalseValue tipo: booleanSpecifica se le creature volanti e il personaggio del giocatore possono aumentare di livello la loro velocità di movimento.
TRUE,FALSE,bAllowSpeedLeveling,Valore predefinito: FalseValue tipo: booleanSpecifica se è possibile aumentare la velocità di movimento delle creature.
None,TRUE,bAllowPlatformSaddleMultiFloors,"Valore predefinito: FalseValue tipo: booleanIf True, consente più piani di piattaforma."
TRUE,TRUE,bAllowUnlimitedRespecs,"Valore predefinito: FalseValue tipo: booleanIf True, consente più di un utilizzo di Mindwipe Tonic senza 24 ore di ricarica."
None,TRUE,BaseTemperatureMultiplier,"Valore predefinito: 1.0Tipo di valore: floatSpecifica il fattore di ridimensionamento della temperatura di base della mappa: un valore più basso rende l'ambiente più freddo, un valore più alto rende l'ambiente più caldo."
None,TRUE,bAutoPvETimer,"Valore predefinito: FalseValue tipo: booleanIf True, modalità PvE abilitata in un server PvPvE a orari prestabiliti. L'opzione bAutoPvEUseSystemTime determina quale tipo di tempo utilizzare, mentre AutoPvEStartTimeSeconds e AutoPvEStopTimeSeconds impostano l'ora di inizio e fine della modalità PvE."
None,TRUE,bAutoPvEUseSystemTime,"Valore predefinito: FalseValue tipo: booleanSe True, gli orari di inizio e fine della modalità PvE in un server PvPvE faranno riferimento all'ora di sistema del server anziché all'ora mondiale del gioco. È inoltre necessario impostare le opzioni bAutoPvETimer, AutoPvEStartTimeSeconds e AutoPvEStopTimeSeconds."
None,TRUE,bAutoUnlockAllEngrams,"Valore predefinito: FalseValue tipo: booleanSe True, sblocca tutti gli engrammi disponibili. Ignora le voci OverrideEngramEntries e OverrideNamedEngramEntries."
None,TRUE,bDisableDinoBreeding,"Valore predefinito: FalseValue tipo: booleanIf True, impedisce la riproduzione degli addomesticati."
None,TRUE,bDisableDinoRiding,"Valore predefinito: FalseValue tipo: booleanIf True, impedisce ai giocatori di cavalcare gli addomesticati."
None,TRUE,bDisableDinoTaming,"Valore predefinito: FalseValue tipo: booleanSe True, impedisce ai giocatori di domare le creature selvagge."
TRUE,TRUE,bDisableFriendlyFire,"Valore predefinito: FalseValue tipo: booleanIf True, impedisce il fuoco amico (tra compagni di tribù/addomesticamenti/strutture)."
None,TRUE,bDisableLootCrates,"Valore predefinito: FalseValue tipo: booleanIf True, impedisce la generazione di casse di bottino (le creazioni di artefatti verranno comunque generate)."
