ASA,ASE,Variable,Description
None,TRUE,AutoPvEStartTimeSeconds,"Quando o modo PvE deve iniciar em um servidor PvPvE. Os valores válidos vão de 0 a 86400."
None,TRUE,AutoPvEStopTimeSeconds,"Quando o modo PvE deve terminar em um servidor PvPvE. Os valores válidos vão de 0 a 86400."
TRUE,TRUE,BabyCuddleGracePeriodMultiplier,"Quanto tempo depois de acariciá o bebê a qualidade da impressão comece a diminuir."
TRUE,TRUE,BabyCuddleIntervalMultiplier,"Com que frequência os bebês precisam de atenção para a imprint. Mais frequência significa que você precisará de mais atenção para obter uma Qualidade de Imprint melhor. Escala de acordo com BabyMatureSpeedMultiplier: Se ambos estiverem definidos como 1,0, a solicitação de imprint será a cada 8 horas."
TRUE,TRUE,BabyCuddleLoseImprintQualitySpeedMultiplier,"Rapidez com que a qualidade de imprint diminui após o período de carência. Valores mais baixos retardam a perda de qualidade de imprint"
TRUE,TRUE,BabyFoodConsumptionSpeedMultiplier,"Velocidade com que o bebê come a comida. Um valor inferior diminui (em percentagem) os alimentos consumidos pelos bebês."
TRUE,TRUE,BabyImprintAmountMultiplier,"A porcentagem que cada imprint fornece. Por exemplo, se um imprint normalmente dá 10%, definir este multiplicador para 0,5 significa que agora dariam 5% cada. Embora defini-lo como 2,0 signifique que agora dariam 20% cada, etc. Este multiplicador é global, o que significa que afetará a progressão de imprint de cada dino."
TRUE,TRUE,BabyImprintingStatScaleMultiplier,"O efeito que a qualidade de imprint tem nas estatísticas. Defina-o como 0 para desabilitar."
TRUE,TRUE,BabyMatureSpeedMultiplier,"Tempo em que os bebês dinos amadurecem em adultos. Valores mais altos diminuem o tempo que o bebê leva para se transformar em adultos."
None,TRUE,bAllowUnclaimDinos,"Se desativado, impede que os jogadores cancelem a reivindicação de criaturas domesticadas."
None,TRUE,bAllowCustomRecipes,"Se habilitado, os jogadores podem usar o Sistema de Receita / Culinária orientado para RP personalizado (incluindo resultados baseados em habilidade)."
FALSE,TRUE,bAllowFlyerSpeedLeveling,"Se habilitado, permite upar velocidade de movimento do flyer."
TRUE,FALSE,bAllowSpeedLeveling,"Se habilitado, permite upar velocidade de movimento em player."
None,TRUE,bAllowPlatformSaddleMultiFloors,"Se ativado, permitirá vários andares de plataforma em jangadas e plataformas de sela."
TRUE,TRUE,bAllowUnlimitedRespecs,"Se habilitado, permitirá que o jogador tenha direitos ilimitados usando o tônico mindwipe."
None,TRUE,BaseTemperatureMultiplier,"Especifica o fator de escala para a temperatura base do mapa. Valores mais baixos diminuem a temperatura da base (torna mais frio); valores mais altos aumentam a temperatura da base (torna mais quente)."
None,TRUE,bAutoPvETimer,"Se ativado, permite alternar entre PvE e PvP em horários pré-especificados no jogo ou tempos reais pré-especificados."
None,TRUE,bAutoPvEUseSystemTime,"Se ativado, o agendamento usará a hora da máquina no servidor Ark; caso contrário, usa o tempo do jogo."
