ASA,ASE,Variable,Description
None,TRUE,AutoPvEStartTimeSeconds,"Значение по умолчанию: 0.0 Тип значения: float Устанавливает, когда должен начаться режим PvE на PvPvE-сервере. Допустимые значения от 0 до 86400. Также должны быть установлены опции bAutoPvETimer, bAutoPvEUseSystemTime и AutoPvEStopTimeSeconds. Примечание: хотя на уровне кода это число определено как число с плавающей точкой, рекомендуется использовать вместо него целое число."
None,TRUE,AutoPvEStopTimeSeconds,"Значение по умолчанию: 0.0 Тип значения: float Устанавливает, когда режим PvE должен завершиться на PvPvE-сервере. Допустимые значения - от 0 до 86400. Также должны быть установлены опции bAutoPvETimer, bAutoPvEUseSystemTime и AutoPvEStopTimeSeconds. Примечание: хотя на уровне кода это число определено как число с плавающей точкой, рекомендуется использовать вместо него целое число."
TRUE,TRUE,BabyCuddleGracePeriodMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Определяет, через какое время после задержки объятий с ребенком качество импринтинга начнет снижаться."
TRUE,TRUE,BabyCuddleIntervalMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Расчет того, как часто малышу требуется внимание для импринтинга. Чаще означает, что вам нужно будет чаще обниматься с ними, чтобы получить качество импринтинга. Зависит от множителя BabyMatureSpeedMultiplier: если оба значения равны 1.0, то импринтинг будет требоваться каждые 8 часов."
TRUE,TRUE,BabyCuddleLoseImprintQualitySpeedMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Устанавливает, как быстро снижается качество импринтинга после льготного периода, если вы еще не обнимались с малышом."
TRUE,TRUE,BabyFoodConsumptionSpeedMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Определяет скорость, с которой прирученные малыши едят свою еду. При меньшем значении уменьшается (в процентах) количество съедаемой малышами пищи."
TRUE,TRUE,BabyImprintAmountMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Увеличивает процент, который дает каждый отпечаток. Например, если отпечатки обычно дают 10 %, установка этого множителя на 0,5 означает, что теперь они будут давать по 5 %. Установка значения 2.0 означает, что теперь они будут давать по 20% и т. д. Этот множитель является глобальным, то есть он будет влиять на прогрессию импринтинга каждого вида."
TRUE,TRUE,BabyImprintingStatScaleMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Определяет, насколько сильно влияет на статистику качество импринтинга. Установите значение 0, чтобы эффективно отключить систему."
TRUE,TRUE,BabyMatureSpeedMultiplier,"Значение по умолчанию: 1.0Тип значения: float Множитель скорости взрослости малышей. Большее число уменьшает время, необходимое детенышам для взросления."
None,TRUE,bAllowUnclaimDinos,"Значение по умолчанию: TrueValue type: boolean Если False, то не позволяет игрокам снимать Клеймо с прирученных дино."
None,TRUE,bAllowCustomRecipes,"Значение по умолчанию: True Тип значения: boolean Если False, то отключается пользовательская система RP-ориентированных рецептов/приготовлений (включая результаты, основанные на навыках)."
FALSE,TRUE,bAllowFlyerSpeedLeveling,"Значение по умолчанию: False Тип значения: boolean Указывает, могут ли летающие существа и игрок повышать скорость передвижения."
TRUE,FALSE,bAllowSpeedLeveling,"Значение по умолчанию: False Тип значения: boolean Указывает, могут ли существа увеличить скорость передвижения."
None,TRUE,bAllowPlatformSaddleMultiFloors,"Значение по умолчанию: False Тип значения: boolean Если True, то разрешает использование нескольких этажей на платформе."
TRUE,TRUE,bAllowUnlimitedRespecs,"Значение по умолчанию: False Тип значения: boolean Если True, то позволяет использовать Mindwipe Tonic более одного раза за уровень без 24-часового отката."
None,TRUE,BaseTemperatureMultiplier,"Значение по умолчанию: 1.0 Тип значения: float Указывает коэффициент масштабирования базовой температуры карты: меньшее значение делает среду более холодной, большее - более горячей."
None,TRUE,bAutoPvETimer,"Значение по умолчанию: False Тип значения: boolean Если True, включается режим PvE на PvPvE-сервере в заранее указанное время. Параметр bAutoPvEUseSystemTime определяет, какое время использовать, а AutoPvEStartTimeSeconds и AutoPvEStopTimeSeconds устанавливают время начала и окончания PvE-режима."
None,TRUE,bAutoPvEUseSystemTime,"Значение по умолчанию: False Тип значения: boolean Если значение True, время начала и окончания PvE-режима на PvPvE-сервере будет относиться к системному времени сервера, а не к внутриигровому мировому времени. Также должны быть установлены параметры bAutoPvETimer, AutoPvEStartTimeSeconds и AutoPvEStopTimeSeconds."
None,TRUE,bAutoUnlockAllEngrams,"Значение по умолчанию: False Тип значения: boolean Если True, то разблокирует все доступные энграммы. Игнорирует записи OverrideEngramEntries и OverrideNamedEngramEntries."
